subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,accuracy,trigger
666,0,0,391,METRONOME 1 LH,iso,low,slower,practice,28.301542679895647,3,23.558804099913687,1,234
666,0,0,110,LOW RHYTHM 2 LH,low,low,slower,practice,53.88017707981635,1,19.395472000003792,1,231
666,0,0,237,MEDIUM RHYTHM 2 LH,medium,low,equal,practice,75.2961744798813,2,18.611642500036396,1,232
666,0,0,137,MEDIUM RHYTHM 2 LH,medium,low,slower,practice,95.92794437985867,1,18.57729509996716,1,233
666,0,0,356,HIGH RHYTHM 1 LH,high,low,faster,practice,116.52624627982732,3,19.84468870004639,1,235
666,0,0,210,LOW RHYTHM 2 LH,low,low,equal,practice,138.39097217982635,2,19.095181199954823,1,236
666,13,13,159,HIGH RHYTHM 1 MH,high,medium,slower,block1,161.8651265798835,2,19.51816149998922,0,13
666,32,16,271,HIGH RHYTHM 2 HH,high,high,equal,block1,183.40441257983912,1,19.044201800017618,0,116
666,5,5,105,LOW RHYTHM 1 MH,low,medium,slower,block1,204.46948457986582,1,18.52861189993564,1,5
666,45,13,359,HIGH RHYTHM 1 MH,high,medium,faster,block1,225.01798897981644,3,17.81243709998671,1,213
666,31,15,269,HIGH RHYTHM 2 MH,high,medium,equal,block1,245.03292787983082,2,18.278766099945642,1,115
666,10,10,135,MEDIUM RHYTHM 1 HH,medium,high,slower,block1,265.3330238799099,1,18.477484400034882,1,10
666,24,8,226,LOW RHYTHM 3 HH,low,high,equal,block1,285.83153887989465,2,18.310828499961644,1,108
666,14,14,161,HIGH RHYTHM 1 HH,high,high,slower,block1,306.17914727982134,1,18.227310099988244,1,14
666,6,6,107,LOW RHYTHM 1 HH,low,high,slower,block1,326.4278203798458,1,18.41093420004472,1,6
666,28,12,252,MEDIUM RHYTHM 3 HH,medium,high,equal,block1,346.85936077986844,2,17.746999999973923,1,112
666,19,3,294,METRONOME 2 MH,iso,medium,equal,block1,366.8744282798143,2,18.36137699999381,1,103
666,9,9,133,MEDIUM RHYTHM 1 MH,medium,medium,slower,block1,387.25712577986997,1,18.344979800051078,1,9
666,23,7,224,LOW RHYTHM 3 MH,low,medium,equal,block1,407.62117627984844,2,18.87840339995455,1,107
666,1,1,195,METRONOME 1 MH,iso,medium,slower,block1,428.51938327983953,1,18.34497710003052,1,1
666,2,2,198,METRONOME 1 HH,iso,high,slower,block1,448.8854459798895,1,18.378093800041825,1,2
666,41,9,333,MEDIUM RHYTHM 1 MH,medium,medium,faster,block1,469.2842174798716,3,18.42780700000003,1,209
666,34,2,398,METRONOME 1 HH,iso,high,faster,block1,489.7323759798892,3,18.428796599968337,1,202
666,46,14,361,HIGH RHYTHM 1 HH,high,high,faster,block1,510.1815351798432,3,19.676395699963905,1,214
666,37,5,305,LOW RHYTHM 1 MH,low,medium,faster,block1,531.8795451798942,1,21.460305000073276,0,205
666,42,10,335,MEDIUM RHYTHM 1 HH,medium,high,faster,block1,555.3610055798199,3,18.378143100067973,1,210
666,20,4,297,METRONOME 2 HH,iso,high,equal,block1,575.7584521798417,2,21.69603939994704,1,104
666,38,6,307,LOW RHYTHM 1 HH,low,high,faster,block1,599.474213779904,3,19.34549480001442,1,206
666,27,11,250,MEDIUM RHYTHM 3 MH,medium,medium,equal,block1,620.8401283798739,1,18.294023699942045,0,111
666,33,1,395,METRONOME 1 MH,iso,medium,faster,block1,641.1563431798713,3,18.62777110002935,1,201
