subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,accuracy,trigger
,0,0,123,LR7 MH2,low,medium,Anticipated,practice,8.602164819720201,2,16.109475000062957,0,233
,0,0,264,HR3 LH2,high,low,OnTime,practice,26.73220611969009,2,16.338024700060487,1,236
,0,0,121,LR7 LH4,low,low,Anticipated,practice,45.09170561970677,2,16.204219699953683,0,231
,0,0,340,Rumba Clave MR2 MH1,medium,high,Delayed,practice,63.3208553197328,3,16.431980699999258,1,235
,0,0,125,LR7 HH3,low,high,Anticipated,practice,81.77468981966376,1,16.103358499938622,1,234
,0,0,249,Mariato Clave MR5 MH1,medium,medium,OnTime,practice,99.8997676196741,3,16.086622799979523,0,232
,0,0,123,LR7 MH2,low,medium,Anticipated,practice,123.59050161973573,1,17.05210920004174,1,233
,0,0,264,HR3 LH2,high,low,OnTime,practice,142.66405721975025,3,16.353405700065196,0,236
,0,0,121,LR7 LH4,low,low,Anticipated,practice,161.0382452197373,1,16.18797190010082,1,231
,0,0,340,Rumba Clave MR2 MH1,medium,high,Delayed,practice,179.24692801968195,1,16.453674499993213,0,235
,0,0,125,LR7 HH3,low,high,Anticipated,practice,197.7214475197252,2,16.17381110007409,0,234
,0,0,249,Mariato Clave MR5 MH1,medium,medium,OnTime,practice,215.92525841970928,3,16.177176699973643,0,232
,0,0,123,LR7 MH2,low,medium,Anticipated,practice,237.24637661967427,1,16.4116015000036,1,233
,0,0,264,HR3 LH2,high,low,OnTime,practice,255.67952231969684,2,17.019959600060247,1,236
,0,0,121,LR7 LH4,low,low,Anticipated,practice,274.72053691977635,1,16.23736040003132,1,231
,0,0,340,Rumba Clave MR2 MH1,medium,high,Delayed,practice,292.9780514197191,1,16.437362500000745,0,235
,0,0,125,LR7 HH3,low,high,Anticipated,practice,311.4369924197672,1,16.5535349000711,1,234
,0,0,249,Mariato Clave MR5 MH1,medium,medium,OnTime,practice,330.01219931966625,1,16.370457699988037,0,232
,47,15,369,HIGH RHYTHM 2 MH,high,medium,Delayed,block1,352.35130801971536,3,16.405502400011756,1,215
,18,2,298,METRONOME 1 HH,iso,high,OnTime,block1,370.7763772197068,2,16.42079190001823,1,102
,25,9,233,MEDIUM RHYTHM 1 MH,medium,medium,OnTime,block1,389.2180687197251,2,16.371637500007637,1,109
,134,6,307,LOW RHYTHM 1 HH,low,high,Delayed,block1,407.6102208197117,3,16.387378200073726,1,206
,127,15,269,HIGH RHYTHM 2 MH,high,medium,OnTime,block1,426.01738261966966,3,16.38930169993546,0,115
,93,13,359,HIGH RHYTHM 1 MH,high,medium,Delayed,block1,444.42684501968324,3,16.40448769996874,1,213
,101,5,105,LOW RHYTHM 1 MH,low,medium,Anticipated,block1,462.85441981977783,1,16.25305419997312,1,5
,82,2,398,METRONOME 1 HH,iso,high,Delayed,block1,481.1454216197599,2,16.551747099962085,0,202
,77,13,259,HIGH RHYTHM 1 MH,high,medium,OnTime,block1,499.71893151977565,1,16.553140399977565,0,113
,64,16,171,HIGH RHYTHM 2 HH,high,high,Anticipated,block1,518.2927932196762,2,16.155448999954388,0,16
,73,9,233,MEDIUM RHYTHM 1 MH,medium,medium,OnTime,block1,536.46963751968,1,16.470001699985005,0,109
,28,12,252,MEDIUM RHYTHM 3 HH,medium,high,OnTime,block1,554.9597299196757,2,16.388038199977018,1,112
,120,8,226,LOW RHYTHM 3 HH,low,high,OnTime,block1,573.3684055197518,1,17.304358300054446,0,108
