subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt
,0,0,449,Mariato Clave MR5 MH1,medium,medium,pleasure,practice,4.242372069740668,4,10.361765200039372
,0,0,425,LR7 HH3,low,high,pleasure,practice,16.625701869721524,2,5.642714499961585
,3,3,494,METRONOME 2 MH,iso,medium,pleasure,main,26.14187306968961,2,6.122462300001644
,6,6,407,LOW RHYTHM 1 HH,low,high,pleasure,main,34.28381716972217,3,6.859066499979235
,31,15,469,HIGH RHYTHM 2 MH,high,medium,pleasure,main,43.1636182697257,2,6.674680800060742
,14,14,461,HIGH RHYTHM 1 HH,high,high,pleasure,main,51.85979466966819,4,6.543654699926265
,19,3,494,METRONOME 2 MH,iso,medium,pleasure,main,60.4397824696498,4,8.073601000010967
,12,12,452,MEDIUM RHYTHM 3 HH,medium,high,pleasure,main,70.53667746973224,4,6.83987360005267
,25,9,433,MEDIUM RHYTHM 1 MH,medium,medium,pleasure,main,79.40167356969323,3,9.63652440009173
,24,8,426,LOW RHYTHM 3 HH,low,high,pleasure,main,91.0604860696476,2,6.62361080001574
,2,2,498,METRONOME 1 HH,iso,high,pleasure,main,99.70590726973023,2,5.774707900010981
,10,10,435,MEDIUM RHYTHM 1 HH,medium,high,pleasure,main,107.50225356966257,3,5.458075700094923
,1,1,495,METRONOME 1 MH,iso,medium,pleasure,main,114.98062356968876,3,5.659288600087166
,15,15,469,HIGH RHYTHM 2 MH,high,medium,pleasure,main,122.66146016970742,2,5.440888600074686
,28,12,452,MEDIUM RHYTHM 3 HH,medium,high,pleasure,main,130.12369026965462,2,6.311021900037304
,23,7,424,LOW RHYTHM 3 MH,low,medium,pleasure,main,138.47010226966813,3,7.358126899925992
,30,14,461,HIGH RHYTHM 1 HH,high,high,pleasure,main,147.84918126964476,1,5.492933499976061
,22,6,407,LOW RHYTHM 1 HH,low,high,pleasure,main,155.36266306973994,5,6.125645499909297
,20,4,497,METRONOME 2 HH,iso,high,pleasure,main,166.44660746969748,2,5.754100299905986
,9,9,433,MEDIUM RHYTHM 1 MH,medium,medium,pleasure,main,174.22096166969277,5,6.025392699986696
,11,11,450,MEDIUM RHYTHM 3 MH,medium,medium,pleasure,main,182.2667672696989,2,5.993090000003576
,5,5,405,LOW RHYTHM 1 MH,low,medium,pleasure,main,190.28029386966955,1,5.692029000027105
,18,2,498,METRONOME 1 HH,iso,high,pleasure,main,197.9934247697238,5,6.541495400015265
,7,7,424,LOW RHYTHM 3 MH,low,medium,pleasure,main,206.55669486965053,5,6.425643800059333
,4,4,497,METRONOME 2 HH,iso,high,pleasure,main,215.00398216967005,2,6.575129200005904
,16,16,471,HIGH RHYTHM 2 HH,high,high,pleasure,main,223.6152325697476,1,6.076221900060773
,8,8,426,LOW RHYTHM 3 HH,low,high,pleasure,main,231.71229876973666,4,6.640943599981256
,26,10,435,MEDIUM RHYTHM 1 HH,medium,high,pleasure,main,240.37421466968954,2,5.142709100036882
,21,5,405,LOW RHYTHM 1 MH,low,medium,pleasure,main,247.5376969696954,3,5.808811000082642
,29,13,459,HIGH RHYTHM 1 MH,high,medium,pleasure,main,255.36726856965106,4,5.558291400084272
,32,16,471,HIGH RHYTHM 2 HH,high,high,pleasure,main,262.9474107696442,4,6.026183399953879
,13,13,459,HIGH RHYTHM 1 MH,high,medium,pleasure,main,270.99432236969005,3,5.975328499916941
,27,11,450,MEDIUM RHYTHM 3 MH,medium,medium,pleasure,main,278.9904763697414,5,5.924911200068891
,17,1,495,METRONOME 1 MH,iso,medium,pleasure,main,286.9367294696858,4,5.925038999994285
,0,0,421,LR7 LH4,low,low,wanting_to_move,practice,309.2869152696803,2,7.348472799989395
,0,0,423,LR7 MH2,low,medium,wanting_to_move,practice,318.6722682697,3,5.259458499960601
,20,4,497,METRONOME 2 HH,iso,high,wanting_to_move,main,327.7347076697042,1,5.261023600003682
,11,11,450,MEDIUM RHYTHM 3 MH,medium,medium,wanting_to_move,main,335.0308487697039,3,5.493588499957696
,25,9,433,MEDIUM RHYTHM 1 MH,medium,medium,wanting_to_move,main,342.54585576965474,4,5.45807239995338
,18,2,498,METRONOME 1 HH,iso,high,wanting_to_move,main,350.02490016969386,2,5.408722799969837
,10,10,435,MEDIUM RHYTHM 1 HH,medium,high,wanting_to_move,main,357.4545854696771,2,5.559787699952722
,31,15,469,HIGH RHYTHM 2 MH,high,medium,wanting_to_move,main,365.03508836973924,4,6.424855599994771
,7,7,424,LOW RHYTHM 3 MH,low,medium,wanting_to_move,main,373.48082016967237,3,6.676223199930973
,15,15,469,HIGH RHYTHM 2 MH,high,medium,wanting_to_move,main,382.17784936970565,2,6.0907308999449015
,8,8,426,LOW RHYTHM 3 HH,low,high,wanting_to_move,main,390.29109076969326,3,5.524447500007227
,29,13,459,HIGH RHYTHM 1 MH,high,medium,wanting_to_move,main,397.8364238697104,2,5.22606639994774
,22,6,407,LOW RHYTHM 1 HH,low,high,wanting_to_move,main,405.08319176966324,5,6.258364800014533
,17,1,495,METRONOME 1 MH,iso,medium,wanting_to_move,main,413.36224026966374,3,5.892840699991211
,3,3,494,METRONOME 2 MH,iso,medium,wanting_to_move,main,421.2774122697301,2,5.17434869997669
,27,11,450,MEDIUM RHYTHM 3 MH,medium,medium,wanting_to_move,main,428.4724358697422,2,5.093286799965426
,30,14,461,HIGH RHYTHM 1 HH,high,high,wanting_to_move,main,435.5870121696498,2,5.225356500013731
,6,6,407,LOW RHYTHM 1 HH,low,high,wanting_to_move,main,442.8337744696764,4,6.441952400025912
,2,2,498,METRONOME 1 HH,iso,high,wanting_to_move,main,456.1119594697375,5,6.473030099994503
,1,1,495,METRONOME 1 MH,iso,medium,wanting_to_move,main,464.6058120697271,4,6.84226859989576
,28,12,452,MEDIUM RHYTHM 3 HH,medium,high,wanting_to_move,main,473.468707569642,3,9.790455600013956
,9,9,433,MEDIUM RHYTHM 1 MH,medium,medium,wanting_to_move,main,485.2800510696834,4,5.35917289997451
,24,8,426,LOW RHYTHM 3 HH,low,high,wanting_to_move,main,492.65948986972217,2,5.793386899982579
,26,10,435,MEDIUM RHYTHM 1 HH,medium,high,wanting_to_move,main,500.47338596964255,3,5.3259329999564216
,12,12,452,MEDIUM RHYTHM 3 HH,medium,high,wanting_to_move,main,507.8201006697491,3,5.908845499972813
,4,4,497,METRONOME 2 HH,iso,high,wanting_to_move,main,515.7501590696629,5,6.525510700070299
,32,16,471,HIGH RHYTHM 2 HH,high,high,wanting_to_move,main,524.297126469668,3,6.007413899991661
,5,5,405,LOW RHYTHM 1 MH,low,medium,wanting_to_move,main,532.3255154696526,2,5.760128099936992
,21,5,405,LOW RHYTHM 1 MH,low,medium,wanting_to_move,main,540.1049609696493,5,5.510058099986054
,16,16,471,HIGH RHYTHM 2 HH,high,high,wanting_to_move,main,547.6355336697306,2,5.42576930008363
,19,3,494,METRONOME 2 MH,iso,medium,wanting_to_move,main,555.0834162697429,5,4.99355460004881
,23,7,424,LOW RHYTHM 3 MH,low,medium,wanting_to_move,main,562.1138286696514,1,6.522883299970999
,14,14,461,HIGH RHYTHM 1 HH,high,high,wanting_to_move,main,570.6578532697167,2,5.142372200032696
,13,13,459,HIGH RHYTHM 1 MH,high,medium,wanting_to_move,main,577.8214227696881,5,5.5594685999676585
