subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,accuracy,trigger
pilot1,71,7,224,LOW RHYTHM 3 MH,low,medium,OnTime,block1,15.054355144500732,3,17.364422082901,0,107
pilot1,45,13,359,HIGH RHYTHM 1 MH,high,medium,Delayed,block1,34.43637824058533,3,16.973058938980103,1,213
pilot1,23,7,224,LOW RHYTHM 3 MH,low,medium,OnTime,block1,53.4270122051239,1,17.056107997894287,0,107
pilot1,105,9,133,MEDIUM RHYTHM 1 MH,medium,medium,Anticipated,block1,72.50102424621582,3,16.739378929138184,0,9
pilot1,43,11,350,MEDIUM RHYTHM 3 MH,medium,medium,Delayed,block1,91.25824618339539,3,16.55614709854126,1,211
pilot1,144,16,371,HIGH RHYTHM 2 HH,high,high,Delayed,block1,109.8320541381836,3,16.54752802848816,1,216
pilot1,75,11,250,MEDIUM RHYTHM 3 MH,medium,medium,OnTime,block1,128.39746618270874,2,19.2235848903656,1,111
pilot1,38,6,307,LOW RHYTHM 1 HH,low,high,Delayed,block1,149.63890624046326,3,17.02320885658264,1,206
pilot1,49,1,195,METRONOME 1 MH,iso,medium,Anticipated,block1,168.6796431541443,3,16.281463146209717,0,1
pilot1,10,10,135,MEDIUM RHYTHM 1 HH,medium,high,Anticipated,block1,186.9866280555725,3,16.255836963653564,0,10
pilot1,51,3,194,METRONOME 2 MH,iso,medium,Anticipated,block1,205.26033210754395,3,16.297496795654297,0,3
pilot1,77,13,259,HIGH RHYTHM 1 MH,high,medium,OnTime,block1,223.57570719718933,3,16.672539949417114,0,113
pilot1,59,11,150,MEDIUM RHYTHM 3 MH,medium,medium,Anticipated,block1,242.26616406440735,3,16.347514867782593,0,11
pilot1,118,6,207,LOW RHYTHM 1 HH,low,high,OnTime,block1,260.6315281391144,3,17.66485095024109,0,106
pilot1,17,1,295,METRONOME 1 MH,iso,medium,OnTime,block1,280.3141701221466,2,17.081775188446045,1,101
pilot1,104,8,126,LOW RHYTHM 3 HH,low,high,Anticipated,block1,299.4132022857666,3,17.856392860412598,0,8
pilot1,116,4,297,METRONOME 2 HH,iso,high,OnTime,block1,319.28741121292114,3,17.123082876205444,0,104
pilot1,111,15,169,HIGH RHYTHM 2 MH,high,medium,Anticipated,block1,338.42809414863586,1,16.93108296394348,1,15
pilot1,96,16,371,HIGH RHYTHM 2 HH,high,high,Delayed,block1,357.3771080970764,1,17.398077964782715,0,216
pilot1,89,9,333,MEDIUM RHYTHM 1 MH,medium,medium,Delayed,block1,376.7929012775421,2,17.69813299179077,0,209
pilot1,33,1,395,METRONOME 1 MH,iso,medium,Delayed,block1,396.50873827934265,3,16.781103134155273,1,201
pilot1,107,11,150,MEDIUM RHYTHM 3 MH,medium,medium,Anticipated,block1,415.307697057724,3,17.206642150878906,0,11
pilot1,58,10,135,MEDIUM RHYTHM 1 HH,medium,high,Anticipated,block1,434.5317451953888,2,16.20578384399414,0,10
pilot1,31,15,269,HIGH RHYTHM 2 MH,high,medium,OnTime,block1,452.75540924072266,3,17.3728289604187,0,115
pilot1,137,9,333,MEDIUM RHYTHM 1 MH,medium,medium,Delayed,block1,597.6281352043152,2,16.87230086326599,0,209
pilot1,140,12,352,MEDIUM RHYTHM 3 HH,medium,high,Delayed,block1,616.5182881355286,1,18.048150777816772,0,212
pilot1,100,4,197,METRONOME 2 HH,iso,high,Anticipated,block1,636.584290266037,3,17.79806900024414,0,4
pilot1,82,2,398,METRONOME 1 HH,iso,high,Delayed,block1,656.4002351760864,2,16.931039094924927,0,202
pilot1,102,6,107,LOW RHYTHM 1 HH,low,high,Anticipated,block1,675.3491861820221,3,17.089416027069092,0,6
pilot1,122,10,235,MEDIUM RHYTHM 1 HH,medium,high,OnTime,block1,694.4565002918243,1,17.63134002685547,0,110
pilot1,87,7,324,LOW RHYTHM 3 MH,low,medium,Delayed,block1,714.1057071685791,3,16.947716236114502,1,207
pilot1,64,16,171,HIGH RHYTHM 2 HH,high,high,Anticipated,block1,733.071366071701,2,17.26466703414917,0,16
pilot1,134,6,307,LOW RHYTHM 1 HH,low,high,Delayed,block1,752.3620591163635,2,18.540049076080322,0,206
pilot1,20,4,297,METRONOME 2 HH,iso,high,OnTime,block1,772.9199481010437,2,17.10605812072754,1,104
pilot1,132,4,397,METRONOME 2 HH,iso,high,Delayed,block1,792.0440011024475,3,17.831507205963135,1,204
pilot1,44,12,352,MEDIUM RHYTHM 3 HH,medium,high,Delayed,block1,811.8932690620422,1,17.52294397354126,0,212
pilot1,130,2,398,METRONOME 1 HH,iso,high,Delayed,block1,831.4341020584106,2,17.573017120361328,0,202
pilot1,127,15,269,HIGH RHYTHM 2 MH,high,medium,OnTime,block1,851.0249540805817,3,18.04814887046814,0,115
pilot1,22,6,207,LOW RHYTHM 1 HH,low,high,OnTime,block1,871.0909881591797,2,17.039841890335083,1,106
pilot1,56,8,126,LOW RHYTHM 3 HH,low,high,Anticipated,block1,890.1483082771301,3,17.506826162338257,0,8
pilot1,57,9,133,MEDIUM RHYTHM 1 MH,medium,medium,Anticipated,block1,909.6723961830139,3,16.640066146850586,0,9
pilot1,67,3,294,METRONOME 2 MH,iso,medium,OnTime,block1,928.329686164856,3,17.89822483062744,0,103
pilot1,7,7,124,LOW RHYTHM 3 MH,low,medium,Anticipated,block1,948.2456231117249,2,17.214522123336792,0,7
pilot1,1,1,195,METRONOME 1 MH,iso,medium,Anticipated,block1,967.4780201911926,2,16.51426100730896,0,1
pilot1,113,1,295,METRONOME 1 MH,iso,medium,OnTime,block1,986.0100672245026,3,17.098530054092407,0,101
pilot1,61,13,159,HIGH RHYTHM 1 MH,high,medium,Anticipated,block1,1005.125815153122,3,17.34783387184143,0,13
pilot1,138,10,335,MEDIUM RHYTHM 1 HH,medium,high,Delayed,block1,1024.4915881156921,3,17.231297969818115,1,210
pilot1,84,4,397,METRONOME 2 HH,iso,high,Delayed,block1,1043.7406570911407,2,16.35588502883911,0,204
pilot1,24,8,226,LOW RHYTHM 3 HH,low,high,OnTime,block1,1149.2732841968536,1,16.95778489112854,0,108
pilot1,115,3,294,METRONOME 2 MH,iso,medium,OnTime,block1,1168.2468452453613,1,17.939761877059937,0,103
pilot1,106,10,135,MEDIUM RHYTHM 1 HH,medium,high,Anticipated,block1,1188.204478263855,3,17.055989980697632,0,10
pilot1,36,4,397,METRONOME 2 HH,iso,high,Delayed,block1,1207.2784671783447,3,16.906269788742065,1,204
pilot1,2,2,198,METRONOME 1 HH,iso,high,Anticipated,block1,1226.2107582092285,3,16.856048107147217,0,2
pilot1,81,1,395,METRONOME 1 MH,iso,medium,Delayed,block1,1245.08464717865,2,16.28080415725708,0,201
pilot1,128,16,271,HIGH RHYTHM 2 HH,high,high,OnTime,block1,1263.3833601474762,2,16.480865955352783,1,116
pilot1,69,5,205,LOW RHYTHM 1 MH,low,medium,OnTime,block1,1281.8821022510529,3,17.197829961776733,0,105
pilot1,14,14,161,HIGH RHYTHM 1 HH,high,high,Anticipated,block1,1301.0978121757507,3,17.13116216659546,0,14
