subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt
pilot1,0,0,425,LR7 HH3,low,high,pleasure,practice,25.16655974000605,5,7.432210099999793
pilot1,0,0,449,Mariato Clave MR5 MH1,medium,medium,pleasure,practice,34.61948814000061,5,7.024685900003533
pilot1,26,10,435,MEDIUM RHYTHM 1 HH,medium,high,pleasure,main,55.650154900002235,4,7.435140900000988
pilot1,32,16,471,HIGH RHYTHM 2 HH,high,high,pleasure,main,65.12182414000563,2,6.042907399998512
pilot1,23,7,424,LOW RHYTHM 3 MH,low,medium,pleasure,main,73.18924304000393,4,5.737493799999356
pilot1,17,1,495,METRONOME 1 MH,iso,medium,pleasure,main,80.94747014000313,2,6.275885700000799
pilot1,27,11,450,MEDIUM RHYTHM 3 MH,medium,medium,pleasure,main,89.24384754000494,4,5.094811700000719
pilot1,4,4,497,METRONOME 2 HH,iso,high,pleasure,main,96.37613183999929,3,5.739950700000918
pilot1,29,13,459,HIGH RHYTHM 1 MH,high,medium,pleasure,main,104.1373385400002,2,5.909163300006185
pilot1,24,8,426,LOW RHYTHM 3 HH,low,high,pleasure,main,112.07193804000417,4,5.638008300004003
pilot1,9,9,433,MEDIUM RHYTHM 1 MH,medium,medium,pleasure,main,119.73492554000404,5,5.354595900003915
pilot1,18,2,498,METRONOME 1 HH,iso,high,pleasure,main,127.11244984000223,2,5.390477300003113
pilot1,25,9,433,MEDIUM RHYTHM 1 MH,medium,medium,pleasure,main,134.5240764400005,5,5.424748600002204
pilot1,2,2,498,METRONOME 1 HH,iso,high,pleasure,main,141.9695243400056,2,5.393503400002373
pilot1,6,6,407,LOW RHYTHM 1 HH,low,high,pleasure,main,149.38398494000285,4,5.608846700000868
pilot1,20,4,497,METRONOME 2 HH,iso,high,pleasure,main,157.01387244000216,2,5.108580399995844
pilot1,11,11,450,MEDIUM RHYTHM 3 MH,medium,medium,pleasure,main,164.1269855999999,5,5.159444199998688
pilot1,15,15,469,HIGH RHYTHM 2 MH,high,medium,pleasure,main,171.32328734000475,2,5.50917159999517
pilot1,8,8,426,LOW RHYTHM 3 HH,low,high,pleasure,main,182.4910861400058,4,5.436751299996104
