68.1813 	WARNING 	Monitor specification not found. Creating a temporary one...
68.1908 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
13.0341 	DATA 	Keypress: 1
13.0395 	EXP 	unnamed TextStim: text = 'trial 1 / 144'
15.0490 	EXP 	Sound  started
32.4135 	DATA 	Keypress: 3
32.4216 	EXP 	unnamed TextStim: text = 'trial 2 / 144'
34.4309 	EXP 	Sound  started
51.4040 	DATA 	Keypress: 3
51.4125 	EXP 	unnamed TextStim: text = 'trial 3 / 144'
53.4219 	EXP 	Sound  started
70.4781 	DATA 	Keypress: 1
70.4862 	EXP 	unnamed TextStim: text = 'trial 4 / 144'
72.4960 	EXP 	Sound  started
89.2354 	DATA 	Keypress: 3
89.2434 	EXP 	unnamed TextStim: text = 'trial 5 / 144'
91.2529 	EXP 	Sound  started
107.8090 	DATA 	Keypress: 3
107.8173 	EXP 	unnamed TextStim: text = 'trial 6 / 144'
109.8270 	EXP 	Sound  started
126.3745 	DATA 	Keypress: 3
126.3827 	EXP 	unnamed TextStim: text = 'trial 7 / 144'
128.3924 	EXP 	Sound  started
141.8641 	DATA 	Keypress: 2
147.6160 	DATA 	Keypress: 2
147.6242 	EXP 	unnamed TextStim: text = 'trial 8 / 144'
149.6334 	EXP 	Sound  started
166.6566 	DATA 	Keypress: 3
166.6648 	EXP 	unnamed TextStim: text = 'trial 9 / 144'
168.6742 	EXP 	Sound  started
184.9557 	DATA 	Keypress: 3
184.9719 	EXP 	unnamed TextStim: text = 'trial 10 / 144'
186.9815 	EXP 	Sound  started
203.2374 	DATA 	Keypress: 3
203.2455 	EXP 	unnamed TextStim: text = 'trial 11 / 144'
205.2552 	EXP 	Sound  started
221.5528 	DATA 	Keypress: 3
221.5609 	EXP 	unnamed TextStim: text = 'trial 12 / 144'
223.5706 	EXP 	Sound  started
240.2432 	DATA 	Keypress: 3
240.2514 	EXP 	unnamed TextStim: text = 'trial 13 / 144'
242.2610 	EXP 	Sound  started
258.6086 	DATA 	Keypress: 3
258.6167 	EXP 	unnamed TextStim: text = 'trial 14 / 144'
260.6263 	EXP 	Sound  started
278.2912 	DATA 	Keypress: 3
278.2994 	EXP 	unnamed TextStim: text = 'trial 15 / 144'
280.3084 	EXP 	Sound  started
297.3902 	DATA 	Keypress: 2
297.3984 	EXP 	unnamed TextStim: text = 'trial 16 / 144'
299.4081 	EXP 	Sound  started
317.2645 	DATA 	Keypress: 3
317.2727 	EXP 	unnamed TextStim: text = 'trial 17 / 144'
319.2823 	EXP 	Sound  started
336.4054 	DATA 	Keypress: 3
336.4133 	EXP 	unnamed TextStim: text = 'trial 18 / 144'
338.4230 	EXP 	Sound  started
355.3541 	DATA 	Keypress: 1
355.3622 	EXP 	unnamed TextStim: text = 'trial 19 / 144'
357.3719 	EXP 	Sound  started
374.7700 	DATA 	Keypress: 1
374.7782 	EXP 	unnamed TextStim: text = 'trial 20 / 144'
376.7876 	EXP 	Sound  started
394.4858 	DATA 	Keypress: 2
394.4939 	EXP 	unnamed TextStim: text = 'trial 21 / 144'
396.5036 	EXP 	Sound  started
413.2848 	DATA 	Keypress: 3
413.2929 	EXP 	unnamed TextStim: text = 'trial 22 / 144'
415.3021 	EXP 	Sound  started
432.5088 	DATA 	Keypress: 3
432.5170 	EXP 	unnamed TextStim: text = 'trial 23 / 144'
434.5266 	EXP 	Sound  started
450.7324 	DATA 	Keypress: 2
450.7406 	EXP 	unnamed TextStim: text = 'trial 24 / 144'
452.7503 	EXP 	Sound  started
470.1232 	DATA 	Keypress: 3
595.6033 	DATA 	Keypress: space
595.6133 	EXP 	unnamed TextStim: text = 'trial 25 / 144'
597.6231 	EXP 	Sound  started
614.4954 	DATA 	Keypress: 2
614.5035 	EXP 	unnamed TextStim: text = 'trial 26 / 144'
616.5132 	EXP 	Sound  started
634.5614 	DATA 	Keypress: 1
634.5695 	EXP 	unnamed TextStim: text = 'trial 27 / 144'
636.5792 	EXP 	Sound  started
654.3773 	DATA 	Keypress: 3
654.3854 	EXP 	unnamed TextStim: text = 'trial 28 / 144'
656.3952 	EXP 	Sound  started
673.3262 	DATA 	Keypress: 2
673.3344 	EXP 	unnamed TextStim: text = 'trial 29 / 144'
675.3441 	EXP 	Sound  started
692.4335 	DATA 	Keypress: 3
692.4417 	EXP 	unnamed TextStim: text = 'trial 30 / 144'
694.4514 	EXP 	Sound  started
712.0828 	DATA 	Keypress: 1
712.0909 	EXP 	unnamed TextStim: text = 'trial 31 / 144'
714.1006 	EXP 	Sound  started
731.0483 	DATA 	Keypress: 3
731.0565 	EXP 	unnamed TextStim: text = 'trial 32 / 144'
733.0662 	EXP 	Sound  started
750.3309 	DATA 	Keypress: 2
750.3473 	EXP 	unnamed TextStim: text = 'trial 33 / 144'
752.3569 	EXP 	Sound  started
770.8970 	DATA 	Keypress: 2
770.9052 	EXP 	unnamed TextStim: text = 'trial 34 / 144'
772.9148 	EXP 	Sound  started
790.0209 	DATA 	Keypress: 2
790.0291 	EXP 	unnamed TextStim: text = 'trial 35 / 144'
792.0389 	EXP 	Sound  started
809.8704 	DATA 	Keypress: 3
809.8785 	EXP 	unnamed TextStim: text = 'trial 36 / 144'
811.8881 	EXP 	Sound  started
829.4111 	DATA 	Keypress: 1
829.4193 	EXP 	unnamed TextStim: text = 'trial 37 / 144'
831.4290 	EXP 	Sound  started
849.0020 	DATA 	Keypress: 2
849.0102 	EXP 	unnamed TextStim: text = 'trial 38 / 144'
851.0198 	EXP 	Sound  started
869.0680 	DATA 	Keypress: 3
869.0762 	EXP 	unnamed TextStim: text = 'trial 39 / 144'
871.0855 	EXP 	Sound  started
888.1253 	DATA 	Keypress: 2
888.1335 	EXP 	unnamed TextStim: text = 'trial 40 / 144'
890.1427 	EXP 	Sound  started
907.6495 	DATA 	Keypress: 3
907.6577 	EXP 	unnamed TextStim: text = 'trial 41 / 144'
909.6666 	EXP 	Sound  started
926.3067 	DATA 	Keypress: 3
926.3148 	EXP 	unnamed TextStim: text = 'trial 42 / 144'
928.3244 	EXP 	Sound  started
946.2227 	DATA 	Keypress: 3
946.2308 	EXP 	unnamed TextStim: text = 'trial 43 / 144'
948.2405 	EXP 	Sound  started
965.4550 	DATA 	Keypress: 2
965.4633 	EXP 	unnamed TextStim: text = 'trial 44 / 144'
967.4729 	EXP 	Sound  started
983.9872 	DATA 	Keypress: 2
983.9953 	EXP 	unnamed TextStim: text = 'trial 45 / 144'
986.0043 	EXP 	Sound  started
1003.1029 	DATA 	Keypress: 3
1003.1110 	EXP 	unnamed TextStim: text = 'trial 46 / 144'
1005.1207 	EXP 	Sound  started
1022.4686 	DATA 	Keypress: 3
1022.4769 	EXP 	unnamed TextStim: text = 'trial 47 / 144'
1024.4864 	EXP 	Sound  started
1041.7178 	DATA 	Keypress: 3
1041.7259 	EXP 	unnamed TextStim: text = 'trial 48 / 144'
1043.7356 	EXP 	Sound  started
1060.0915 	DATA 	Keypress: 2
1147.2477 	DATA 	Keypress: space
1147.2585 	EXP 	unnamed TextStim: text = 'trial 49 / 144'
1149.2675 	EXP 	Sound  started
1166.2253 	DATA 	Keypress: 1
1166.2320 	EXP 	unnamed TextStim: text = 'trial 50 / 144'
1168.2417 	EXP 	Sound  started
1186.1815 	DATA 	Keypress: 1
1186.1897 	EXP 	unnamed TextStim: text = 'trial 51 / 144'
1188.1994 	EXP 	Sound  started
1205.2554 	DATA 	Keypress: 3
1205.2636 	EXP 	unnamed TextStim: text = 'trial 52 / 144'
1207.2733 	EXP 	Sound  started
1224.1796 	DATA 	Keypress: 3
1224.1959 	EXP 	unnamed TextStim: text = 'trial 53 / 144'
1226.2057 	EXP 	Sound  started
1243.0617 	DATA 	Keypress: 3
1243.0699 	EXP 	unnamed TextStim: text = 'trial 54 / 144'
1245.0795 	EXP 	Sound  started
1261.3604 	DATA 	Keypress: 2
1261.3686 	EXP 	unnamed TextStim: text = 'trial 55 / 144'
1263.3782 	EXP 	Sound  started
1279.8591 	DATA 	Keypress: 2
1279.8673 	EXP 	unnamed TextStim: text = 'trial 56 / 144'
1281.8770 	EXP 	Sound  started
1299.0748 	DATA 	Keypress: 3
1299.0830 	EXP 	unnamed TextStim: text = 'trial 57 / 144'
1301.0927 	EXP 	Sound  started
1318.2239 	DATA 	Keypress: 3
1318.2320 	EXP 	unnamed TextStim: text = 'trial 58 / 144'
1320.2417 	EXP 	Sound  started
1337.8147 	DATA 	Keypress: 3
1337.8229 	EXP 	unnamed TextStim: text = 'trial 59 / 144'
1339.8326 	EXP 	Sound  started
1355.7969 	DATA 	Keypress: 2
1357.4306 	DATA 	Keypress: 2
1357.4387 	EXP 	unnamed TextStim: text = 'trial 60 / 144'
1359.4485 	EXP 	Sound  started
1375.6543 	DATA 	Keypress: 2
1375.6624 	EXP 	unnamed TextStim: text = 'trial 61 / 144'
1377.6720 	EXP 	Sound  started
1394.1447 	DATA 	Keypress: 2
1394.1529 	EXP 	unnamed TextStim: text = 'trial 62 / 144'
1396.1625 	EXP 	Sound  started
1413.1103 	DATA 	Keypress: 3
1413.1188 	EXP 	unnamed TextStim: text = 'trial 63 / 144'
1415.1280 	EXP 	Sound  started
1432.5676 	DATA 	Keypress: 3
1432.5759 	EXP 	unnamed TextStim: text = 'trial 64 / 144'
1434.5855 	EXP 	Sound  started
1451.6500 	DATA 	Keypress: 3
1451.6582 	EXP 	unnamed TextStim: text = 'trial 65 / 144'
1453.6678 	EXP 	Sound  started
1471.6160 	DATA 	Keypress: 3
1471.6242 	EXP 	unnamed TextStim: text = 'trial 66 / 144'
1473.6337 	EXP 	Sound  started
1490.4733 	DATA 	Keypress: 3
1490.4815 	EXP 	unnamed TextStim: text = 'trial 67 / 144'
1492.4912 	EXP 	Sound  started
1509.0888 	DATA 	Keypress: 3
1509.0970 	EXP 	unnamed TextStim: text = 'trial 68 / 144'
1511.1067 	EXP 	Sound  started
1529.1549 	DATA 	Keypress: 3
1529.1631 	EXP 	unnamed TextStim: text = 'trial 69 / 144'
1531.1728 	EXP 	Sound  started
1548.5790 	DATA 	Keypress: 1
1548.5872 	EXP 	unnamed TextStim: text = 'trial 70 / 144'
1550.5968 	EXP 	Sound  started
1570.7540 	DATA 	Keypress: 1
1570.7623 	EXP 	unnamed TextStim: text = 'trial 71 / 144'
1572.7719 	EXP 	Sound  started
1591.2871 	DATA 	Keypress: 2
1591.2953 	EXP 	unnamed TextStim: text = 'trial 72 / 144'
1593.3049 	EXP 	Sound  started
1611.5281 	DATA 	Keypress: 3
1674.0122 	DATA 	Keypress: space
1674.0190 	EXP 	unnamed TextStim: text = 'trial 73 / 144'
1676.0288 	EXP 	Sound  started
1692.6094 	DATA 	Keypress: 3
1692.6175 	EXP 	unnamed TextStim: text = 'trial 74 / 144'
1694.6268 	EXP 	Sound  started
1711.2164 	DATA 	Keypress: 3
1711.2246 	EXP 	unnamed TextStim: text = 'trial 75 / 144'
1713.2343 	EXP 	Sound  started
1730.2238 	DATA 	Keypress: 3
1730.2319 	EXP 	unnamed TextStim: text = 'trial 76 / 144'
1732.2414 	EXP 	Sound  started
1748.3557 	DATA 	Keypress: 2
1748.3639 	EXP 	unnamed TextStim: text = 'trial 77 / 144'
1750.3736 	EXP 	Sound  started
1767.0549 	DATA 	Keypress: 2
1767.0711 	EXP 	unnamed TextStim: text = 'trial 78 / 144'
1769.0808 	EXP 	Sound  started
1785.9201 	DATA 	Keypress: 3
1785.9283 	EXP 	unnamed TextStim: text = 'trial 79 / 144'
1787.9380 	EXP 	Sound  started
1804.2272 	DATA 	Keypress: 2
1804.2354 	EXP 	unnamed TextStim: text = 'trial 80 / 144'
1806.2450 	EXP 	Sound  started
1822.8344 	DATA 	Keypress: 2
1822.8425 	EXP 	unnamed TextStim: text = 'trial 81 / 144'
1824.8522 	EXP 	Sound  started
1842.4169 	DATA 	Keypress: 1
1842.4250 	EXP 	unnamed TextStim: text = 'trial 82 / 144'
1844.4347 	EXP 	Sound  started
1861.3991 	DATA 	Keypress: 3
1861.4073 	EXP 	unnamed TextStim: text = 'trial 83 / 144'
1863.4169 	EXP 	Sound  started
1880.6565 	DATA 	Keypress: 2
1880.6647 	EXP 	unnamed TextStim: text = 'trial 84 / 144'
1882.6743 	EXP 	Sound  started
1898.8801 	DATA 	Keypress: 2
1898.8886 	EXP 	unnamed TextStim: text = 'trial 85 / 144'
1900.8980 	EXP 	Sound  started
1917.3790 	DATA 	Keypress: 1
1917.3872 	EXP 	unnamed TextStim: text = 'trial 86 / 144'
1919.3969 	EXP 	Sound  started
1935.4945 	DATA 	Keypress: 2
1936.1446 	DATA 	Keypress: 2
1936.1527 	EXP 	unnamed TextStim: text = 'trial 87 / 144'
1938.1625 	EXP 	Sound  started
1955.3019 	DATA 	Keypress: 2
1955.3101 	EXP 	unnamed TextStim: text = 'trial 88 / 144'
1957.3196 	EXP 	Sound  started
1974.9678 	DATA 	Keypress: 2
1974.9760 	EXP 	unnamed TextStim: text = 'trial 89 / 144'
1976.9857 	EXP 	Sound  started
1992.7998 	DATA 	Keypress: 3
1993.9250 	DATA 	Keypress: 3
1993.9332 	EXP 	unnamed TextStim: text = 'trial 90 / 144'
1995.9423 	EXP 	Sound  started
2011.7654 	DATA 	Keypress: 3
2013.6243 	DATA 	Keypress: 3
2013.6325 	EXP 	unnamed TextStim: text = 'trial 91 / 144'
2015.6422 	EXP 	Sound  started
