31.4352 	WARNING 	Monitor specification not found. Creating a temporary one...
31.4495 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
19.8921 	DATA 	Keypress: space
23.1355 	DATA 	Keypress: space
23.1451 	EXP 	unnamed TextStim: text = 'trial 1 / 2'
25.1502 	EXP 	Sound  started
32.5825 	DATA 	Keypress: 5
32.5984 	EXP 	unnamed TextStim: text = 'trial 2 / 2'
34.6035 	EXP 	Sound  started
41.6282 	DATA 	Keypress: 5
53.6398 	DATA 	Keypress: space
53.6463 	EXP 	unnamed TextStim: text = 'trial 1 / 32'
55.6497 	EXP 	Sound  started
63.0849 	DATA 	Keypress: 4
63.1008 	EXP 	unnamed TextStim: text = 'trial 2 / 32'
65.1055 	EXP 	Sound  started
71.1485 	DATA 	Keypress: 2
71.1681 	EXP 	unnamed TextStim: text = 'trial 3 / 32'
73.1727 	EXP 	Sound  started
78.9102 	DATA 	Keypress: 4
78.9263 	EXP 	unnamed TextStim: text = 'trial 4 / 32'
80.9311 	EXP 	Sound  started
87.2070 	DATA 	Keypress: 2
87.2226 	EXP 	unnamed TextStim: text = 'trial 5 / 32'
89.2274 	EXP 	Sound  started
94.3223 	DATA 	Keypress: 4
94.3551 	EXP 	unnamed TextStim: text = 'trial 6 / 32'
96.3598 	EXP 	Sound  started
102.0998 	DATA 	Keypress: 3
102.1163 	EXP 	unnamed TextStim: text = 'trial 7 / 32'
104.1210 	EXP 	Sound  started
110.0302 	DATA 	Keypress: 2
110.0508 	EXP 	unnamed TextStim: text = 'trial 8 / 32'
112.0556 	EXP 	Sound  started
117.6937 	DATA 	Keypress: 4
117.7142 	EXP 	unnamed TextStim: text = 'trial 9 / 32'
119.7186 	EXP 	Sound  started
125.0732 	DATA 	Keypress: 5
125.0920 	EXP 	unnamed TextStim: text = 'trial 10 / 32'
127.0961 	EXP 	Sound  started
132.4867 	DATA 	Keypress: 2
132.5031 	EXP 	unnamed TextStim: text = 'trial 11 / 32'
134.5077 	EXP 	Sound  started
139.9325 	DATA 	Keypress: 5
139.9488 	EXP 	unnamed TextStim: text = 'trial 12 / 32'
141.9531 	EXP 	Sound  started
147.3467 	DATA 	Keypress: 2
147.3635 	EXP 	unnamed TextStim: text = 'trial 13 / 32'
149.3677 	EXP 	Sound  started
154.9766 	DATA 	Keypress: 4
154.9933 	EXP 	unnamed TextStim: text = 'trial 14 / 32'
156.9978 	EXP 	Sound  started
162.1064 	DATA 	Keypress: 2
162.1219 	EXP 	unnamed TextStim: text = 'trial 15 / 32'
164.1270 	EXP 	Sound  started
169.2865 	DATA 	Keypress: 5
169.3022 	EXP 	unnamed TextStim: text = 'trial 16 / 32'
171.3074 	EXP 	Sound  started
176.8166 	DATA 	Keypress: 2
180.4624 	DATA 	Keypress: space
180.4703 	EXP 	unnamed TextStim: text = 'trial 17 / 32'
182.4745 	EXP 	Sound  started
187.9113 	DATA 	Keypress: 4
187.9273 	EXP 	unnamed TextStim: text = 'trial 18 / 32'
189.9318 	EXP 	Sound  started
195.3581 	DATA 	Keypress: 3
195.3755 	EXP 	unnamed TextStim: text = 'trial 19 / 32'
197.3797 	EXP 	Sound  started
202.8554 	DATA 	Keypress: 3
202.8717 	EXP 	unnamed TextStim: text = 'trial 20 / 32'
204.8763 	EXP 	Sound  started
210.4680 	DATA 	Keypress: 5
210.4847 	EXP 	unnamed TextStim: text = 'trial 21 / 32'
212.4898 	EXP 	Sound  started
218.0337 	DATA 	Keypress: 2
218.0652 	EXP 	unnamed TextStim: text = 'trial 22 / 32'
220.0698 	EXP 	Sound  started
225.1615 	DATA 	Keypress: 5
225.1774 	EXP 	unnamed TextStim: text = 'trial 23 / 32'
227.1822 	EXP 	Sound  started
232.5078 	DATA 	Keypress: 2
232.5236 	EXP 	unnamed TextStim: text = 'trial 24 / 32'
234.5282 	EXP 	Sound  started
239.6879 	DATA 	Keypress: 4
239.7046 	EXP 	unnamed TextStim: text = 'trial 25 / 32'
241.7093 	EXP 	Sound  started
246.9510 	DATA 	Keypress: 3
246.9667 	EXP 	unnamed TextStim: text = 'trial 26 / 32'
248.9714 	EXP 	Sound  started
255.1475 	DATA 	Keypress: 2
255.1645 	EXP 	unnamed TextStim: text = 'trial 27 / 32'
257.1687 	EXP 	Sound  started
264.8101 	DATA 	Keypress: 3
264.8277 	EXP 	unnamed TextStim: text = 'trial 28 / 32'
266.8318 	EXP 	Sound  started
272.1075 	DATA 	Keypress: 3
272.1247 	EXP 	unnamed TextStim: text = 'trial 29 / 32'
274.1297 	EXP 	Sound  started
279.3195 	DATA 	Keypress: 5
279.3364 	EXP 	unnamed TextStim: text = 'trial 30 / 32'
281.3410 	EXP 	Sound  started
288.0332 	DATA 	Keypress: 2
288.0499 	EXP 	unnamed TextStim: text = 'trial 31 / 32'
290.0543 	EXP 	Sound  started
295.5461 	DATA 	Keypress: 4
295.5624 	EXP 	unnamed TextStim: text = 'trial 32 / 32'
297.5669 	EXP 	Sound  started
303.0424 	DATA 	Keypress: 2
309.7774 	DATA 	Keypress: space
324.2310 	DATA 	Keypress: space
327.1609 	DATA 	Keypress: space
327.1684 	EXP 	unnamed TextStim: text = 'trial 1 / 2'
329.1733 	EXP 	Sound  started
334.7112 	DATA 	Keypress: 3
