MeterAmp,soundMeterAmp,noMeterAmp,soundNoMeterAmp,rhythm,harmony,version
0.86225269,0.82431916,-0.492715823,-0.47103952,iso,M,iso1
0.482865558,0.837440412,-0.275923176,-0.478537378,iso,H,iso1
0.804465154,0.807772669,-0.459694374,-0.461584383,iso,M,iso2
0.693982922,0.834244682,-0.39656167,-0.476711247,iso,H,iso2
0.692159976,0.827014004,-0.395519986,-0.472579431,low,M,low1
0.767497575,0.839676187,-0.438570043,-0.479814964,low,H,low1
-0.02763719,0.216823446,0.01579268,-0.123899112,low,M,low2
-0.01979582,0.222174541,0.011311897,-0.126956881,low,H,low2
-0.00860198,-0.24142953,0.004915417,0.137959732,med,M,med1
-0.137372216,-0.250088043,0.078498409,0.142907453,med,H,med1
-0.155824146,-0.066688515,0.089042369,0.038107723,med,M,med2
0.51355794,-0.065412028,-0.29346168,0.037378302,med,H,med2
-0.331949981,-0.097451337,0.189685703,0.055686478,high,M,high1
-0.037912116,-0.09422286,0.021664066,0.053841634,high,H,high1
-0.05218328,-0.208630181,0.029819017,0.119217246,high,M,high2
-0.282283842,-0.20982516,0.161305052,0.119900091,high,H,high2
