MeterAmp,soundMeterAmp,noMeterAmp,soundNoMeterAmp,rhythm,harmony,version
0.791138006,0.824319159740744,-0.452078860495887,-0.471039519851854,iso,M,iso1
0.687032801154871,0.837440412004307,-0.392590172088497,-0.478537378288176,iso,H,iso1
0.748386797725241,0.807772669456093,-0.427649598700138,-0.461584382546339,iso,M,iso2
0.661562165146452,0.834244682172225,-0.378035522940829,-0.476711246955557,iso,H,iso2
0.982821727350244,0.827014004028843,-0.561612415628711,-0.472579430873624,low,M,low1
0.902949235886946,0.839676187356976,-0.515970991935397,-0.479814964203986,low,H,low1
0.298176072561264,0.216823445690015,-0.170386327177865,-0.123899111822866,low,M,low2
0.103007405761460,0.222174540942240,-0.0588613747208345,-0.126956880538424,low,H,low2
0.0975082588565178,-0.241429530405965,-0.0557190050608675,0.137959731660551,med,M,med1
0.373860260714118,-0.250088043391511,-0.213634434693781,0.142907453366578,med,H,med1
-0.125737379482745,-0.0666885145319595,0.0718499311329971,0.0381077225896913,med,M,med2
-0.0614625038823151,-0.0654120278610991,0.0351214307898944,0.0373783016349134,med,H,med2
-0.198618960526178,-0.0974513373512021,0.113496548872101,0.0556864784864006,high,M,high1
0.109381001975649,-0.0942228598362293,-0.0625034297003706,0.0538416341921306,high,H,high1
-0.218287879379501,-0.208630181200881,0.124735931074001,0.119217246400503,high,M,high2
-0.201390317475946,-0.209825159502759,0.115080181414826,0.119900091144434,high,H,high2
