trial_code,code,number,name,rhythm,harmony,condition,block,trigger,,,,
0,0,110,LOW RHYTHM 2 LH,low,low,slower,practice,231,,,,
0,0,237,MEDIUM RHYTHM 2 LH,medium,low,equal,practice,232,,,,
0,0,137,MEDIUM RHYTHM 2 LH,medium,low,slower,practice,233,,,,
0,0,391,METRONOME 1 LH,iso,low,slower,practice,234,,,,
0,0,356,HIGH RHYTHM 1 LH,high,low,faster,practice,235,,,,
0,0,210,LOW RHYTHM 2 LH,low,low,equal,practice,236,,,,
1,1,195,METRONOME 1 MH,iso,medium,slower,block1,1,,,,
2,2,198,METRONOME 1 HH,iso,high,slower,block1,2,,,,
3,3,194,METRONOME 2 MH,iso,medium,slower,block2,3,,,,
4,4,197,METRONOME 2 HH,iso,high,slower,block2,4,,,,
5,5,105,LOW RHYTHM 1 MH,low,medium,slower,block1,5,,,,
6,6,107,LOW RHYTHM 1 HH,low,high,slower,block1,6,,,,
7,7,124,LOW RHYTHM 3 MH,low,medium,slower,block2,7,,,,
8,8,126,LOW RHYTHM 3 HH,low,high,slower,block2,8,,,,
9,9,133,MEDIUM RHYTHM 1 MH,medium,medium,slower,block1,9,,,,
10,10,135,MEDIUM RHYTHM 1 HH,medium,high,slower,block1,10,,,,
11,11,150,MEDIUM RHYTHM 3 MH,medium,medium,slower,block2,11,,,,
12,12,152,MEDIUM RHYTHM 3 HH,medium,high,slower,block2,12,,,,
13,13,159,HIGH RHYTHM 1 MH,high,medium,slower,block1,13,,,,
14,14,161,HIGH RHYTHM 1 HH,high,high,slower,block1,14,,,,
15,15,169,HIGH RHYTHM 2 MH,high,medium,slower,block2,15,,,,
16,16,171,HIGH RHYTHM 2 HH,high,high,slower,block2,16,,,,
17,1,295,METRONOME 1 MH,iso,medium,equal,block1,101,,,,
18,2,298,METRONOME 1 HH,iso,high,equal,block1,102,,,,
19,3,294,METRONOME 2 MH,iso,medium,equal,block2,103,,,,
20,4,297,METRONOME 2 HH,iso,high,equal,block2,104,,,,
21,5,205,LOW RHYTHM 1 MH,low,medium,equal,block1,105,,,,
22,6,207,LOW RHYTHM 1 HH,low,high,equal,block1,106,,,,
23,7,224,LOW RHYTHM 3 MH,low,medium,equal,block2,107,,,,
24,8,226,LOW RHYTHM 3 HH,low,high,equal,block2,108,,,,
25,9,233,MEDIUM RHYTHM 1 MH,medium,medium,equal,block1,109,,,,
26,10,235,MEDIUM RHYTHM 1 HH,medium,high,equal,block1,110,,,,
27,11,250,MEDIUM RHYTHM 3 MH,medium,medium,equal,block2,111,,,,
28,12,252,MEDIUM RHYTHM 3 HH,medium,high,equal,block2,112,,,,
29,13,259,HIGH RHYTHM 1 MH,high,medium,equal,block1,113,,,,
30,14,261,HIGH RHYTHM 1 HH,high,high,equal,block1,114,,,,
