trial_code,code,number,name,rhythm,harmony,condition,block,trigger
0,0,91,MENTRONOME 1 LH,iso,low,wpb,practice,0
0,0,56,HIGH RHYTHM 2 LH,high,low,pwb,practice,0
0,0,10,LOW RHYTHM 2 LH,low,low,bpw,practice,0
0,0,37,MEDIUM 1 LH,medium,low,wbp,practice,0
1,1,95,METRONOME 1 MH,iso,medium,wpb,main,1
2,2,98,METRONOME 1 HH,iso,high,pwb,main,2
3,3,94,METRONOME 2 MH,iso,medium,pbw,main,3
4,4,97,METRONOME 2 HH,iso,high,bpw,main,4
5,5,5,LOW RHYTHM 1 MH,low,medium,bwp,main,5
6,6,7,LOW RHYTHM 1 HH,low,high,wbp,main,6
7,7,24,LOW RHYTHM 3 MH,low,medium,wpb,main,7
8,8,26,LOW RHYTHM 3 HH,low,high,pwb,main,8
9,9,33,MEDIUM RHYTHM 1 MH,medium,medium,pbw,main,9
10,10,35,MEDIUM RHYTHM 1 HH,medium,high,bpw,main,10
11,11,50,MEDIUM RHYTHM 3 MH,medium,medium,bwp,main,11
12,12,52,MEDIUM RHYTHM 3 HH,medium,high,wpb,main,12
13,13,59,HIGH RHYTHM 1 MH,high,medium,pwb,main,13
14,14,61,HIGH RHYTHM 1 HH,high,high,pbw,main,14
15,15,69,HIGH RHYTHM 2 MH,high,medium,bpw,main,15
16,16,71,HIGH RHYTHM 2 HH,high,high,bwp,main,16
